"Investor Name , PAN Number , City , Investment Type , Investment Amount , Annual Return %"
"Amit Sharma , XGZFE7225A , Delhi , Mutual Fund , 250000 , 12.5"
"Neha Verma , CTUGE1616I , Mumbai , Stocks , 450000 , 18.2"
"Rohit Mehta , PEVFV4506Y , Pune , Fixed Deposit , 300000 , 6.8"
"Sneha Iyer , UWPCL6780T , Chennai , Mutual Fund , 520000 , 14.1"
"Ankit Gupta , LQDTD5444T , Noida , Stocks , 180000 , 16.9"
"Pooja Malhotra , YUGFJ2046V , Gurgaon , Bonds , 400000 , 7.5"
"Suresh Reddy , DDWCH0856B , Hyderabad , Mutual Fund , 275000 , 13.2"
"Kavita Joshi , NLXBC1905E , Jaipur , Fixed Deposit , 150000 , 6.4"
"Manish Arora , GFQJR7008X , Delhi , Stocks , 620000 , 19.3"
"Rina Kapoor , HAIBF2803J , Mumbai , Mutual Fund , 350000 , 12.9"
"Vikas Singh , PAOTD0722J , Patna , Bonds , 200000 , 7.1"
"Anjali Nair , YSNCH0058E , Kochi , Mutual Fund , 480000 , 14.6"
"Rahul Jain , KOAHM4127V , Indore , Stocks , 310000 , 17.4"
"Swati Bansal , AALAE0983J , Chandigarh , Fixed Deposit , 220000 , 6.6"
"Deepak Yadav , IDKAU8404X , Agra , Mutual Fund , 195000 , 11.8"
"Meenal Shah , RCPLI5103X , Ahmedabad , Stocks , 540000 , 18.7"
"Kunal Saxena , SJRGW6993R , Delhi , Bonds , 260000 , 7.9"
"Priya Kulkarni , JBBLZ1931E , Nagpur , Mutual Fund , 330000 , 13.5"
"Arjun Malhotra , FJECZ5248L , Gurgaon , Stocks , 710000 , 20.1"
"Nisha Pandey , AEZJI0104B , Varanasi , Fixed Deposit , 170000 , 6.3"
"Tarun Khanna , ROWTD0056J , Ludhiana , Mutual Fund , 290000 , 12.4"
"Isha Choudhary , YBVFO2576K , Udaipur , Stocks , 360000 , 17.8"
"Sanjay Patel , QUPFY1746K , Surat , Bonds , 410000 , 8.2"
"Ritika Sood , GTQFD6431B , Shimla , Mutual Fund , 210000 , 11.6"
"Aditya Mishra , DRTFB7756K , Prayagraj , Stocks , 470000 , 18.9"
"Pallavi Deshmukh , XJELO0342F , Aurangabad , Fixed Deposit , 260000 , 6.9"
"Mohit Aggarwal , UHAHZ2587S , Delhi , Mutual Fund , 380000 , 13.8"
"Kiran Rao , GKUPF4474T , Bangalore , Stocks , 650000 , 19.6"
"Rashmi Goyal , WLQFI7038P , Bikaner , Bonds , 190000 , 7.3"
"Nitin Kulkarni , YRUHY0179Q , Pune , Mutual Fund , 420000 , 14"
"Simran Kaur , GAGAH3245V , Amritsar , Stocks , 340000 , 16.5"
"Ajay Chauhan , YKWJC5903I , Meerut , Fixed Deposit , 230000 , 6.7"
"Sonali Bose , DTMCS6680V , Kolkata , Mutual Fund , 510000 , 15.2"
"Abhishek Roy , DPABK1472L , Durgapur , Stocks , 290000 , 17.1"
"Ritu Sharma , ANVGQ8532K , Panipat , Bonds , 360000 , 8"
"Yogesh Patil , MXJTH3636M , Nashik , Mutual Fund , 310000 , 12.7"
"Shalini Mittal , CNGLA9287F , Faridabad , Stocks , 580000 , 18.4"
"Harish Pandya , OKKJN0258I , Rajkot , Bonds , 240000 , 7.6"
"Preeti Sinha , QILTZ8532O , Ranchi , Mutual Fund , 275000 , 13.1"
